Cell_Quality	Metadata_dataset_split	cell_count
Perfect	ALLBATCHES___CP_Plate_1___ALLWELLS	1776701
Perfect	ALLBATCHES___CP_Plate_2___ALLWELLS	1649582
Great	ALLBATCHES___CP_Plate_1___ALLWELLS	277796
Great	ALLBATCHES___CP_Plate_2___ALLWELLS	287272
Imperfect	ALLBATCHES___CP_Plate_1___ALLWELLS	245741
Imperfect	ALLBATCHES___CP_Plate_2___ALLWELLS	298141
Bad	ALLBATCHES___CP_Plate_1___ALLWELLS	1324367
Bad	ALLBATCHES___CP_Plate_2___ALLWELLS	1053207
Empty	ALLBATCHES___CP_Plate_1___ALLWELLS	733636
Empty	ALLBATCHES___CP_Plate_2___ALLWELLS	504028
